theta,E=0.010000,E=0.014384,E=0.020691,E=0.029764,E=0.042813,E=0.061585,E=0.088587,E=0.127427,E=0.183298,E=0.263665,E=0.379269,E=0.545559,E=0.784760,E=1.128838,E=1.623777,E=2.335721,E=3.359818,E=4.832930,E=6.951928,E=10.000000
2.371,292.001084759937,202.997050601142,141.122087223205,98.1070584191138,68.203320267139,47.4144569251061,32.962188889005,22.9150762618803,15.9303959411186,11.0746964985219,7.69904922562528,5.35232355907112,3.72089678107769,2.58674063752548,1.79828345678746,1.25015370464393,0.869097849583149,0.604190564203614,0.420028927752808,0.292001084759937
2.372,291.581965572286,202.705681961146,140.919529843649,97.9662419880334,68.1054256986685,47.3464013263204,32.9148771269897,22.8821854657528,15.9075304965902,11.0588006062044,7.68799851579731,5.34464118520607,3.71555605010916,2.58302779982984,1.79570231876808,1.24835931608691,0.867850403584766,0.603323348731918,0.419426045804151,0.291581965572286
2.373,291.163016087238,202.414431297179,140.717054480177,97.8254825739441,68.0075707679994,47.2783732834488,32.8675845216473,22.8493079872063,15.8846743103482,11.0429111501808,7.67695228043457,5.33696192195701,3.71021748161846,2.5793164654732,1.79312222585914,1.24656565408315,0.866603462680973,0.602456484398342,0.418823407964186,0.291163016087238
2.374,290.744235992398,202.123298392063,140.51466098181,97.6847800718865,67.9097554021648,47.2103727457652,32.8203110377134,22.8164438017252,15.8618273653495,11.0270281186031,7.66591051130027,5.32928576359778,3.70488107162481,2.57560663168817,1.79054317613677,1.24477271729517,0.865357025941969,0.601589970556495,0.418221013783546,0.290744235992398
2.375,290.32562497579,201.832283028918,140.312349197774,97.5441343770428,67.8119795282961,47.1423996626117,32.7730566399711,22.7835928848271,15.8389896445741,11.0111514996389,7.65487320016871,5.32161270440995,3.69954681615279,2.57189829571105,1.78796516767967,1.24298050438731,0.864111092439207,0.600723806560859,0.417618862813472,0.29032562497579
2.376,289.907182725862,201.541384991151,140.110118977497,97.4035453847366,67.714243073623,47.074453983399,32.725821293251,22.7507552120623,15.8161611310248,10.995281281472,7.64384033882531,5.3139427386828,3.69421471123234,2.56819145478189,1.78538819856914,1.2411890140257,0.862865661245395,0.599857991766786,0.417016954605808,0.289907182725862
2.377,289.48890893148,201.250604062467,139.907970170609,97.2630129904327,67.6165459654733,47.0065356576059,32.6786049624313,22.7179307590145,15.7933418077275,10.9794174523021,7.63281191906658,5.3062758607133,3.68888475289878,2.56448610614447,1.78281226688908,1.23939824487827,0.861620731434488,0.598992525530497,0.416415288713005,0.28948890893148
2.378,289.070803281928,200.959940026857,139.705902626946,97.1225370897365,67.5188881312727,46.9386446347794,32.6314076124372,22.6851195012999,15.7705316577308,10.9635600003446,7.62178793270003,5.29861206480612,3.68355693719273,2.56078224704626,1.78023737072595,1.23760819561476,0.860376302081691,0.59812740720908,0.415813864688115,0.289070803281928
2.379,288.65286546691,200.669392668606,139.503916196541,96.9821175783937,67.4212694985445,46.870780864534,32.5842292082411,22.6523214145677,15.7477306641061,10.9477089138311,7.61076837154422,5.29095134527356,3.67823126016016,2.55707987473845,1.77766350816879,1.23581886490667,0.859132372263449,0.597262636160488,0.415212682084791,0.28865286546691
2.38,288.235095176545,200.378961772288,139.302010729633,96.8417543522902,67.3236899949091,46.8029442965521,32.5370697148627,22.6195364744996,15.7249388099477,10.9318641810086,7.59975322742868,5.28329369643558,3.67290771785233,2.5533789864759,1.77509067730921,1.23403025142731,0.85788894105745,0.596398211743535,0.414611740457285,0.288235095176545
2.381,287.817492101368,200.088647122763,139.100186076659,96.7014473074516,67.2261495480843,46.7351348805836,32.4899290973684,22.5867646568102,15.7021560783724,10.9160257901402,7.58874249219391,5.27563911261975,3.66758630632583,2.54967957951719,1.77251887624138,1.23224235385175,0.856646007542619,0.595534133317897,0.414011039360449,0.287817492101369
